element_type,osmid,amenity,cuisine,name,geometry,shelter_type,atm,healthcare,bus,public_transport,capacity,nodes,ferry,landuse,addr:street,name:en,name:zh,wikidata,wikipedia,tourism,building,internet_access,internet_access:fee,operator,outdoor_seating,website,access,covered,email,opening_hours,surface,bicycle_parking,fee,operator:type,waste,parking,religion,layer,townhall:type,brand,brand:en,brand:wikidata,brand:zh,ref,takeaway,addr:city,addr:district,addr:postcode,addr:province,smoking,addr:housenumber,drive_through,operator:en,operator:wikidata,operator:zh,description,park_ride,barrier,backrest,female,male,toilets:disposal,bench,bin,diet:vegetarian,changing_table,unisex,wheelchair,highway,fuel:octane_92,source,social_facility,social_facility:for,alt_name,created_by,name:zh-Latn-pinyin,brand:wikipedia,name:de,official_name,phone,brand:zh-Hans,name:zh-Hans,address,contact:phone,lgbtq,addr:country,bar,payment:telephone_cards,check_date,name:cs,name:fi,name:fr,name:ko,name:sv,name:zh-Hant,delivery,not:brand:wikidata,addr:housename,designation,diet:halal,bicycle,motorcar,short_name,operator:wikipedia,motor_vehicle,supervised,bicycle_rental,drink:tea,material,recycling_type,collection_times,post_box:type,historic,note,vending,indoor,type,service:bicycle:pump,maxheight,name:zh-CN,name:zh-Hant-CN,entrance,name:ru,fast_food,tower:type,brand:zh-Hant,int_name,start_date,shop,dispensing,level,description:en,phone:mobile,brand:ja,branch,parcel_mail_in,parcel_pickup,payment,payment:mobilepay,payment:cash,payment:mobile_phone,cash_in,post_office,addr:floor,toilets,colour,toilets:handwashing,name:ja,diet:chicken,diet:meat,diet:mediterranean,diet:salad,theatre:type,indoor_seating,self_service,air_conditioning,old_name,internet_access:ssid,healthcare:speciality,denomination,height,building:levels,was:building,grades,alt_name:zh,addr:full,addr:full:en,office,capacity:disabled,construction,trolleybus,ways,name:nan,name:nan-HJ,name:nan-POJ,name:nan-TL,short_name:en,short_name:nan,short_name:nan-HJ,short_name:nan-POJ,short_name:nan-TL,short_name:zh,stars,lit,shelter,postal_code,cargo,opening_hours:covid19,toilets:access,emergency,theatre:genre,roof:height,roof:shape,title,residential,studio,site,payment:alipay,payment:coins,payment:wechat,network,payment:叮嗒出行,payment:杭州市民卡,payment:杭州通,location,lockable,fixme,fixme:type,school,name:el,name:es,preschool,psv,taxi,tourist_bus,coach,diet:local
node,3828205074,restaurant,hotpot,Pingge Hotpot Food,POINT (118.5426856 29.4347585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3828205265,pharmacy,,Ping An Chemist,POINT (118.5421436 29.4345822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5117258595,parking,,,POINT (118.4370871 29.5045746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5259744592,school,,白马小学,POINT (118.7154792 29.2363962),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5328571541,school,,汾口中学,POINT (118.5249647 29.4249264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5458485082,school,,横沿小学,POINT (118.5986575 29.4185746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5458862197,school,,姜家镇初中,POINT (118.6569994 29.4743923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5458862198,hospital,,姜家镇卫生院,POINT (118.6568459 29.4730812),,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5458862200,school,,姜家镇中心小学,POINT (118.6575136 29.477335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5907471622,school,,龙川小学,POINT (118.5667675 29.4604479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
